id,b,p
 3,20$\pm$4,\textbf{31$\pm$4$^*$}
 4,\textbf{44$\pm$12},42$\pm$12
 5,\textbf{1$\pm$1},0$\pm$0
 6,45$\pm$4,\textbf{46$\pm$0}
11,32$\pm$27,\textbf{57$\pm$16$^*$}
15,\textbf{65$\pm$7},63$\pm$3
18,\textbf{8$\pm$1},8$\pm$1
19,5$\pm$1,\textbf{5$\pm$1$^*$}
22,37$\pm$15,\textbf{ 54$\pm$1$^*$}
26,21$\pm$2,\textbf{21$\pm$1}
27,70$\pm$11,\textbf{ 72$\pm$3}
30,\textbf{61},61
32,68$\pm$17,\textbf{ 77$\pm$5$^*$}
33,43$\pm$15,\textbf{ 52$\pm$2$^*$}
35,\textbf{13$\pm$12},12$\pm$13
37,17$\pm$8,\textbf{40$\pm$2$^*$}
38,65$\pm$26,\textbf{ 87$\pm$1$^*$}
