id,nbClasses,nbSamples,kMeans,kkmeansC,kaveragesC
 1,50, 905,64$\pm$1,70$\pm$1,\textbf{72$\pm$1$^*$}
 2,37, 781,58$\pm$1,63$\pm$1,\textbf{66$\pm$1$^*$}
 8,12, 780,26$\pm$1,26$\pm$2,\textbf{27$\pm$1$^*$}
 9,12, 780,33$\pm$2,33$\pm$2,\textbf{33$\pm$1$^*$}
10,12, 780,27$\pm$1,26$\pm$2,\textbf{27$\pm$1$^*$}
14,14,2250,37$\pm$2,\textbf{78$\pm$2$^*$},75$\pm$2
16,14,2250,37$\pm$2,78$\pm$2,\textbf{79$\pm$2$^*$}
23, 8,2400,87$\pm$4,89$\pm$4,\textbf{90$\pm$3$^*$}
24,10,1141,25$\pm$1,31$\pm$2,\textbf{32$\pm$1$^*$}
31,15,1125,54$\pm$1,66$\pm$2,\textbf{68$\pm$1$^*$}
36,25, 905,43$\pm$1,51$\pm$1,\textbf{52$\pm$1$^*$}
39, 8,4478,44$\pm$1,46$\pm$1,\textbf{46$\pm$1$^*$}
40, 8,4478,44$\pm$0,45$\pm$0,\textbf{45$\pm$0$^*$}
41, 8,4478,42$\pm$1,\textbf{43$\pm$0$^*$},43$\pm$0
